State_UT,Year,Month,Temperature_Mean_C,Temperature_Max_C,Temperature_Min_C,Relative_Humidity_Mean,Dew_Point_Mean_C,Precipitation_Sum_mm,Pressure_msl_Mean_hPa,Wind_Speed_kmh,Wind_Direction_Dominant_deg,Wet_Bulb_Temp_C,Heat_Index_C,WBGT_C,Year_numeric,Month_sin,Month_cos,State_Andaman and Nicobar Islands,State_Andhra Pradesh,State_Arunachal Pradesh,State_Assam,State_Bihar,State_Chandigarh,State_Chhattisgarh,State_Dadra and Nagar Haveli and Daman and Diu,State_Delhi,State_Goa,State_Gujarat,State_Haryana,State_Himachal Pradesh,State_Jammu and Kashmir,State_Jharkhand,State_Karnataka,State_Kerala,State_Ladakh,State_Lakshadweep,State_Madhya Pradesh,State_Maharashtra,State_Manipur,State_Meghalaya,State_Mizoram,State_Nagaland,State_Odisha,State_Puducherry,State_Punjab,State_Rajasthan,State_Sikkim,State_Tamil Nadu,State_Telangana,State_Tripura,State_Uttar Pradesh,State_Uttarakhand,State_West Bengal,Alert_Status,Heatwave_Days
Andaman and Nicobar Islands,2012,10,26.570967741935487,28.0,24.9,82.09677419354838,23.238709677419354,169.9,1010.3129032258064,56.99612903225807,160.90322580645162,24.12882470386049,27.832541124346253,28.488366818294597,2012,-0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,11,26.47,28.2,24.8,83.1,23.33333333333333,300.3,1009.81,50.124,106.36666666666666,24.17069480591483,27.6177161969675,28.44757305872453,2012,-0.5000000000000004,0.8660254037844384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2012,12,26.616129032258065,27.9,24.8,77.12903225806451,22.203225806451613,65.3,1010.3806451612904,68.84129032258065,52.67741935483871,23.46673659448064,28.09309748946777,28.253772642921216,2012,-2.4492935982947064e-16,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,1,25.906451612903226,27.7,23.3,75.41935483870968,21.15806451612903,27.8,1012.2032258064517,67.87741935483872,43.67741935483871,22.55530510300616,26.18719315686344,27.493192969997555,2013,0.49999999999999994,0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,2,26.832142857142856,28.3,25.0,77.42857142857143,22.53214285714285,9.4,1011.0214285714284,57.97285714285714,51.5,23.716733508945964,28.721039045818685,28.474501269015764,2013,0.8660254037844386,0.5000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,3,27.251612903225805,28.8,25.5,72.12903225806451,21.71935483870968,6.5,1010.916129032258,43.211612903225806,103.87096774193547,23.33713352660225,29.435440104594075,28.56315799208372,2013,1.0,6.123233995736766e-17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,4,27.696666666666665,29.2,25.7,75.06666666666666,22.816666666666663,28.8,1009.15,34.968,220.76666666666668,24.193738162688295,30.702141792652345,29.1521490979365,2013,0.8660254037844387,-0.4999999999999998,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,5,27.58709677419355,29.3,25.7,82.93548387096774,24.416129032258063,323.8,1007.3387096774194,79.93161290322581,194.9032258064516,25.23047940230843,31.286601926283986,29.497462276074955,2013,0.49999999999999994,-0.8660254037844387,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,6,26.58333333333333,27.9,25.2,86.53333333333333,24.136666666666667,449.2,1005.8833333333332,110.112,236.4,24.76900821245031,28.038910610145287,28.74697022749297,2013,1.2246467991473532e-16,-1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,7,26.154838709677417,27.5,24.8,86.41935483870968,23.693548387096776,476.6,1006.783870967742,114.29419354838711,224.9032258064516,24.334953767253367,26.33422977717391,28.33343037891767,2013,-0.4999999999999997,-0.8660254037844388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,8,26.34193548387097,27.6,24.8,84.93548387096774,23.59032258064516,321.6,1007.6483870967742,99.58064516129032,228.48387096774192,24.308415634807304,27.166677389888537,28.42908476383411,2013,-0.8660254037844384,-0.5000000000000004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
Andaman and Nicobar Islands,2013,9,26.133333333333333,27.5,24.7,85.83333333333333,23.586666666666662,349.1,1008.4033333333332,95.532,241.36666666666667,24.23220503456332,26.323140827966224,28.280856578583386,2013,-1.0,-1.8369701987210297e-16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No Alert,0
